Code relocation records:
--- block 0000 ---
  0008:0000 Relative Code unit=U0071 blkoff=300B
  0008:0016 Relative Code unit=U0079 blkoff=9000
  0008:0000 Relative Code unit=U007E blkoff=300B
  0008:0052 Relative Code unit=U0087 blkoff=5000
  0008:0000 Relative Code unit=U008C blkoff=300B
  0008:0000 Relative Code unit=U0094 blkoff=300B
  0008:0000 Relative Code unit=U0099 blkoff=300B
  0008:0000 Relative Code unit=U009E blkoff=300B
  0008:0100 Relative Code unit=U0047 blkoff=900B
  0008:0000 Relative Code unit=U004C blkoff=5000
  0008:0000 Relative Code unit=U0051 blkoff=300B
  0008:0000 Relative Code unit=U0059 blkoff=300B
  0008:0000 Relative Code unit=U005E blkoff=300B
  0008:0100 Relative Code unit=U0063 blkoff=900B
  0008:002C Relative Code unit=U0068 blkoff=5000
  0008:0000 Relative Code unit=U006D blkoff=300B
  0008:0000 Relative Code unit=U0075 blkoff=300B
  0008:0000 Relative Code unit=U007A blkoff=300B
  0008:0100 Relative Code unit=U007F blkoff=900B
  0008:005B Relative Code unit=U0084 blkoff=5000
  0008:0000 Relative Code unit=U0089 blkoff=300B
  0008:0000 Relative Code unit=U0091 blkoff=300B
  0008:0000 Relative Code unit=U0096 blkoff=300B
  0008:0100 Relative Code unit=U009B blkoff=900B
  0008:009D Relative Code unit=U00A0 blkoff=5000
  0008:0000 Relative Code unit=U00A5 blkoff=300B
  0008:0000 Relative Code unit=U00AD blkoff=300B
  0008:0000 Relative Code unit=U00B2 blkoff=300B
  0008:0100 Relative Code unit=U00B7 blkoff=900B
  0008:00E4 Relative Code unit=U00BC blkoff=5000
  0008:0000 Relative Code unit=U00C1 blkoff=300B
  0008:0000 Relative Code unit=U00C9 blkoff=300B
  0008:0000 Relative Code unit=U00CE blkoff=300B
  0008:0100 Relative Code unit=U00D3 blkoff=900B
  0008:0113 Relative Code unit=U00D8 blkoff=5000
  0008:0000 Relative Code unit=U00DD blkoff=300B
  0008:0000 Relative Code unit=U00E5 blkoff=300B
  0008:0000 Relative Code unit=U00EA blkoff=300B
  0008:0016 Relative Code unit=U00EF blkoff=9000
  0008:0018 Relative Code unit=U00F5 blkoff=9000
  0008:0016 Relative Code unit=U00FC blkoff=9000
  0008:0018 Relative Code unit=U0002 blkoff=9000
  0008:0000 Relative Code unit=U0009 blkoff=9016
  0008:0006 Relative Code unit=U000E blkoff=9000
  0008:0006 Relative Code unit=U0011 blkoff=9000
  0008:0000 Relative Code unit=U0014 blkoff=300B
  0008:0012 Relative Code unit=U0027 blkoff=9000
  0008:0012 Relative Code unit=U0032 blkoff=9000
  0008:0014 Relative Code unit=U0043 blkoff=9000
  0008:0000 Relative Code unit=U0047 blkoff=0000
  0008:0138 Relative Code unit=U004D blkoff=5000
  0008:0000 Relative Code unit=U0050 blkoff=9000
  0008:0000 Relative Code unit=U0055 blkoff=300B
  0008:0000 Relative Code unit=U005E blkoff=0000
  0008:0000 Relative Code unit=U0064 blkoff=900B
  0008:0000 Relative Code unit=U0067 blkoff=300B
  0008:0000 Relative Code unit=U006C blkoff=300B
  0008:0000 Relative Code unit=U0071 blkoff=300B
  0008:0000 Relative Code unit=U00E9 blkoff=9000
  0008:0014 Relative Code unit=U00EE blkoff=9000
  0008:0100 Relative Code unit=U00F2 blkoff=900B
  0008:0000 Relative Code unit=U00F7 blkoff=5000
  0008:0000 Relative Code unit=U00FC blkoff=300B
  0008:0000 Relative Code unit=U0004 blkoff=300B
  0008:0000 Relative Code unit=U0009 blkoff=300B
  0008:0002 Relative Code unit=U000E blkoff=9000
  0008:0014 Relative Code unit=U0013 blkoff=9000
  0008:0100 Relative Code unit=U0017 blkoff=900B
  0008:0046 Relative Code unit=U001C blkoff=5000
  0008:0000 Relative Code unit=U0021 blkoff=300B
  0008:0000 Relative Code unit=U0029 blkoff=300B
  0008:0000 Relative Code unit=U002E blkoff=300B
  0008:0004 Relative Code unit=U0033 blkoff=9000
  0008:0014 Relative Code unit=U0038 blkoff=9000
  0008:0100 Relative Code unit=U003C blkoff=900B
  0008:007B Relative Code unit=U0041 blkoff=5000
  0008:0000 Relative Code unit=U0046 blkoff=300B
  0008:0000 Relative Code unit=U004E blkoff=300B
  0008:0000 Relative Code unit=U0053 blkoff=300B
  0008:0006 Relative Code unit=U0058 blkoff=9000
  0008:0014 Relative Code unit=U005D blkoff=9000
  0008:0100 Relative Code unit=U0061 blkoff=900B
  0008:00B3 Relative Code unit=U0066 blkoff=5000
  0008:0000 Relative Code unit=U006B blkoff=300B
  0008:0000 Relative Code unit=U0073 blkoff=300B
  0008:0000 Relative Code unit=U0078 blkoff=300B
  0008:0008 Relative Code unit=U007D blkoff=9000
  0008:0014 Relative Code unit=U0082 blkoff=9000
  0008:0100 Relative Code unit=U0086 blkoff=900B
  0008:00DF Relative Code unit=U008B blkoff=5000
  0008:0000 Relative Code unit=U0090 blkoff=300B
  0008:0000 Relative Code unit=U0098 blkoff=300B
  0008:0000 Relative Code unit=U009D blkoff=300B
  0008:000A Relative Code unit=U00A2 blkoff=9000
  0008:0014 Relative Code unit=U00A7 blkoff=9000
  0008:0100 Relative Code unit=U00AB blkoff=900B
  0008:0113 Relative Code unit=U00B0 blkoff=5000
  0008:0000 Relative Code unit=U00B5 blkoff=300B
  0008:0000 Relative Code unit=U00BD blkoff=300B
  0008:0000 Relative Code unit=U00C2 blkoff=300B
  0008:000E Relative Code unit=U00C7 blkoff=9000
  0008:0014 Relative Code unit=U00CC blkoff=9000
  0008:0100 Relative Code unit=U00D0 blkoff=900B
  0008:0156 Relative Code unit=U00D5 blkoff=5000
  0008:0000 Relative Code unit=U00DA blkoff=300B
  0008:0000 Relative Code unit=U00E2 blkoff=300B
  0008:0000 Relative Code unit=U00E7 blkoff=300B
  0008:000C Relative Code unit=U00EC blkoff=9000
  0008:0014 Relative Code unit=U00F1 blkoff=9000
  0008:0100 Relative Code unit=U00F5 blkoff=900B
  0008:019A Relative Code unit=U00FA blkoff=5000
  0008:0000 Relative Code unit=U00FF blkoff=300B
  0008:0000 Relative Code unit=U0007 blkoff=300B
  0008:0000 Relative Code unit=U000C blkoff=300B
  0008:0010 Relative Code unit=U0011 blkoff=9000
  0008:0014 Relative Code unit=MONSTRA blkoff=9000
  0008:0100 Relative Code unit=U001A blkoff=900B
  0008:01D9 Relative Code unit=U001F blkoff=5000
  0008:0000 Relative Code unit=U0024 blkoff=300B
  0008:0000 Relative Code unit=U002C blkoff=300B
  0008:0000 Relative Code unit=U0031 blkoff=300B
  0008:0012 Relative Code unit=U0036 blkoff=9000
  0008:0014 Relative Code unit=U003B blkoff=9000
  0008:0100 Relative Code unit=U003F blkoff=900B
  0008:0209 Relative Code unit=U0044 blkoff=5000
  0008:0000 Relative Code unit=U0049 blkoff=300B
  0008:0000 Relative Code unit=U0051 blkoff=300B
  0008:0000 Relative Code unit=U0056 blkoff=300B
  0008:0014 Relative Code unit=U005B blkoff=9000
  0008:0014 Relative Code unit=U0060 blkoff=9000
  0008:0100 Relative Code unit=U0064 blkoff=900B
  0008:0252 Relative Code unit=U0069 blkoff=5000
  0008:0000 Relative Code unit=U006E blkoff=300B
  0008:0000 Relative Code unit=U0076 blkoff=300B
  0008:0000 Relative Code unit=U007B blkoff=300B
  0008:000B Relative Code unit=U0080 blkoff=9000
  0008:0014 Relative Code unit=U0085 blkoff=9000
  0008:0100 Relative Code unit=U008A blkoff=900B
  0008:0297 Relative Code unit=U008F blkoff=5000
  0008:0000 Relative Code unit=U0094 blkoff=300B
  0008:0000 Relative Code unit=U009C blkoff=300B
  0008:0000 Relative Code unit=U00A1 blkoff=300B
  0008:0000 Relative Code unit=U00A6 blkoff=300B
  0008:0004 Relative Code unit=U004D blkoff=9000
  0008:000C Relative Code unit=U0053 blkoff=9000
  0008:000A Relative Code unit=U0059 blkoff=9000
  0008:0000 Relative Code unit=U005F blkoff=0000
  0008:0010 Relative Code unit=U0065 blkoff=9000
  0008:0000 Relative Code unit=U0069 blkoff=300B
  0008:000C Relative Code unit=U0076 blkoff=9000
  0008:0100 Relative Code unit=U007B blkoff=900B
  0008:0000 Relative Code unit=U007E blkoff=5000
  0008:0000 Relative Code unit=U0083 blkoff=300B
  0008:000C Relative Code unit=U008B blkoff=9000
  0008:0000 Relative Code unit=U0090 blkoff=300B
  0008:000B Relative Code unit=U0099 blkoff=5000
  0008:0000 Relative Code unit=U009E blkoff=300B
  0008:0000 Relative Code unit=U00A6 blkoff=300B
  0008:0000 Relative Code unit=U00AB blkoff=300B
  0008:000C Relative Code unit=U00B0 blkoff=9000
  0008:0000 Relative Code unit=U00B5 blkoff=9000
  0008:0002 Relative Code unit=U00BA blkoff=9000
  0008:0000 Relative Code unit=U00BE blkoff=9000
  0008:0002 Relative Code unit=U00C1 blkoff=9000
  0008:0000 Relative Code unit=U00C5 blkoff=9000
  0008:001A Relative Code unit=U00C8 blkoff=5000
  0008:0000 Relative Code unit=U00CD blkoff=300B
  0008:0000 Relative Code unit=U00D2 blkoff=300B
  0008:0008 Relative Code unit=U00DD blkoff=9000
  0008:0008 Relative Code unit=U00E2 blkoff=9000
  0008:000A Relative Code unit=U00E6 blkoff=9000
  0008:0100 Relative Code unit=U00ED blkoff=900B
  0008:0027 Relative Code unit=U00F3 blkoff=5000
  0008:0000 Relative Code unit=U00F8 blkoff=300B
  0008:0000 Relative Code unit=PRZEDM blkoff=300B
  0008:0000 Relative Code unit=U0005 blkoff=300B
  0008:000A Relative Code unit=U000A blkoff=9000
  0008:0004 Relative Code unit=U0010 blkoff=9000
  0008:0004 Relative Code unit=U0015 blkoff=9000
  0008:0000 Relative Code unit=U0019 blkoff=300B
  0008:0000 Relative Code unit=U003E blkoff=300B
  0008:0004 Relative Code unit=U0047 blkoff=9000
  0008:0000 Relative Code unit=U004F blkoff=300B
  0008:000C Relative Code unit=U0056 blkoff=9000
  0008:000A Relative Code unit=U005E blkoff=9000
  0008:0000 Relative Code unit=U0062 blkoff=0000
  0008:0010 Relative Code unit=U0068 blkoff=9000
  0008:0000 Relative Code unit=U006C blkoff=300B
  0008:000C Relative Code unit=U0079 blkoff=9000
  0008:0100 Relative Code unit=U0081 blkoff=900B
  0008:0000 Relative Code unit=U0084 blkoff=5000
  0008:0000 Relative Code unit=U0089 blkoff=300B
  0008:000C Relative Code unit=U0091 blkoff=9000
  0008:0000 Relative Code unit=U0096 blkoff=300B
  0008:000B Relative Code unit=U009F blkoff=5000
  0008:0000 Relative Code unit=U00A4 blkoff=300B
  0008:0000 Relative Code unit=U00AC blkoff=300B
  0008:0000 Relative Code unit=U00B1 blkoff=300B
  0008:000C Relative Code unit=U00B6 blkoff=9000
  0008:0000 Relative Code unit=U00BB blkoff=9000
  0008:0002 Relative Code unit=U00C0 blkoff=9000
  0008:0000 Relative Code unit=U00C4 blkoff=9000
  0008:0002 Relative Code unit=U00C7 blkoff=9000
  0008:0008 Relative Code unit=U00CB blkoff=9000
  0008:0000 Relative Code unit=U00CF blkoff=300B
  0008:0008 Relative Code unit=U00D9 blkoff=9000
  0008:0008 Relative Code unit=U00DE blkoff=9000
  0008:0008 Relative Code unit=U00E2 blkoff=9000
  0008:0100 Relative Code unit=U00E9 blkoff=900B
  0008:001A Relative Code unit=U00EF blkoff=5000
  0008:0000 Relative Code unit=U00F4 blkoff=300B
  0008:0000 Relative Code unit=U00FC blkoff=300B
  0008:0000 Relative Code unit=U0001 blkoff=300B
  0008:0008 Relative Code unit=U0006 blkoff=9000
  0008:0004 Relative Code unit=U000C blkoff=9000
  0008:0004 Relative Code unit=U0011 blkoff=9000
  0008:0000 Relative Code unit=U0015 blkoff=300B
  0008:0000 Relative Code unit=U003E blkoff=300B
  0008:0004 Relative Code unit=U0047 blkoff=9000
  0008:0000 Relative Code unit=U004F blkoff=300B
